ESTADOS,inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,ATR,OPA,se,AB_P,FC_P,entao,OPR,fimse,fim,EOF,P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP
10,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,S23,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,S21,S22,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,E-ID-LITERAL-Numero,,,,,,,,,20,,,,,,,
11,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,S25,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,E-Atribuicao,,,,,,,,,,,,,,,,
12,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S11,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S9,S10,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S13,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S35,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,,,,,,,,32,,33,,,34,12,,31
13,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,S60,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,E-Abre Parenteses,,,,,,,,,,,,,,,,
14,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,R12,,,,,,,,,,,,,,,,
15,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,R32,,,,,,,,,,,,,,,,
16,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,R18,,,,,,,,,,,,,,,,
17,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,R24,,,,,,,,,,,,,,,,
18,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,S19,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,,,,,,,,,,,,,,,,
19,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R13,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R13,R13,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R13,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R13,R13,E-ID-leia-escreva-se-fimse-fim,,,,,,,,,,,,,,,,
20,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,S24,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,,,,,,,,,,,,,,,,
21,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,R15,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,,,,,,,,,,,,,,,,
22,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,R16,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,,,,,,,,,,,,,,,,
23,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,R17,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,,,,,,,,,,,,,,,,
24,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R14,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R14,R14,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R14,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R14,R14,E-ID-leia-escreva-se-fimse-fim,,,,,,,,,,,,,,,,
25,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,S39,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,S40,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,,,,,,,,,,,26,28,,,,
26,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,S27,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,,,,,,,,,,,,,,,,
27,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R19,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R19,R19,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R19,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R19,R19,E-ID-leia-escreva-se-fimse-fim,,,,,,,,,,,,,,,,
28,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,R21,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,S29,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,E-Ponto e virgula-Operador Aritimetico,,,,,,,,,,,,,,,,
29,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,S39,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,S40,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,,,,,,,,,,,,30,,,,
30,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,R20,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,,,,,,,,,,,,,,,,
31,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R25,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R25,R25,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R25,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R25,R25,E-ID-leia-escreva-se-fimse-fim,,,,,,,,,,,,,,,,
32,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S11,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S9,S10,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S13,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S35,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,,,,,,,,32,,33,,,34,12,,36
33,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S11,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S9,S10,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S13,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S35,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,,,,,,,,32,,33,,,34,12,,37
34,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S11,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S9,S10,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S13,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,S35,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,,,,,,,,32,,33,,,34,12,,38
35,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R31,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R31,R31,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R31,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R31,R31,E-ID-leia-escreva-se-fimse-fim,,,,,,,,,,,,,,,,
