ESTADOS,inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,ATR,OPA,se,AB_P,FC_P,entao,OPR,fimse,fim,EOF,P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP
46,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,R27,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,,,,,,,,,,,,,,,,
47,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,R3,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,R3,R3,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,R3,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,R3,E-ID-leia-escreva-se-fimse,,,,,,,,,,,,,,,,
48,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,S49,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,S56,S57,S58,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,,,59,48,,51,,,,,,,,,,
49,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,S50,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,,,,,,,,,,,,,,,,
50,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,R5,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,R5,R5,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,R5,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,R5,E-ID-leia-escreva-se-fim,,,,,,,,,,,,,,,,
51,E-ID,E-ID,E-ID,E-ID,S53,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,,,,,61,,,,,,,,,,,
52,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,R6,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,R6,R6,R6,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,,,,,,,,,,,,,,,,
53,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,R8,E-Ponto e Virgula-Virgula,S54,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,E-Ponto e Virgula-Virgula,,,,,,,,,,,,,,,,
54,E-ID,E-ID,E-ID,E-ID,S53,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,,,,,55,,,,,,,,,,,
55,E-PT_V,E-Ponto e Virgula,E-Ponto e Virgula,R7,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,,,,,,,,,,,,,,,,
56,E-ID,E-ID,E-ID,E-ID,R9,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,,,,,,,,,,,,,,,,
57,E-ID,E-ID,E-ID,E-ID,R10,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,,,,,,,,,,,,,,,,
58,E-ID,E-ID,E-ID,E-ID,R11,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,,,,,,,,,,,,,,,,
59,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,R4,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,R4,R4,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,R4,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,R4,E-ID-leia-escreva-se-fim,,,,,,,,,,,,,,,,
60,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,S39,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,S40,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,E-ID-Numero,,,,,,,,,,,,42,,,41,
61,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,S52,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,E-Ponto e Virgula,,,,,,,,,,,,,,,,
